51	'number of materials in this database'																																													
id	case'	'name'	'data source'	bulk density'	'thermal capacity'	'thermal conductivity'	'thermal conductivity'	'capillary moisture content' 	absorbivity for short wave radiation [-]'	Equation type (vdc(1))	vdc(2)	vdc(3)	vdc(4)	vdc(5)	vdc(6)	vdc(7)	(nret)	reta1	retn1	retm1	retw1	Ci	Wi	reta2	retn2	retm2	retw2	reta3	retn3	retm3	retw3	keq	ka(j)	kb(j)	kreta(j1)	kretn(j1)	kretm(j1)	kretw(j1)	kreta(j2)	kretn(j2)	kretm(j2)	kretw(j2)	kreta(j3)	kretn(j3)	kretm(j3)	kretw(j3)
-	-	-	-	'[kg/m3]'	'[J/kgK]'	'[W/mK] - dry term'	'[W/mK] moisture term - * w'	'[kg/m3]'		vapour diffusion coefficient							Moisture storage parameters C and w (coefficients for the equation)															equation type for logK	Coefficients for the calculation of log10 of the liquid permeability/conductivity													
22	55	'late wood non-isotropic'	'KULeuven'	4.94E+02	1.88E+03	5.00E-01	0	3.85E+02	0.5	2	2.31E-05	2.73E+02	1.81E+00	2.90E+01	0	0	2	-8.10E-08	1.60E+00	3.75E-01	3.80E-01	3.85E+02	3.85E+02	-5.00E-07	6.00E+00	8.33E-01	6.20E-01	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
23	11	'wood copy mat 11 + Bestest600'	'dryprop-bestest'	5.30E+02	9.00E+02	1.40E-01	0	1.50E+02	0.5	3	2.31E-05	2.73E+02	1.81E+00	7.50E-02	2.18E-03	5.00E+00	1	-6.67E-07	1.42E+00	2.94E-01	1.00E+00	1.50E+02	1.50E+02	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
24	14	'insulation copy mat 14 + Bestest600'	'dryprop-bestest'	1.20E+01	8.40E+02	4.00E-02	0	2.34E+01	0.5	2	2.31E-05	2.73E+02	1.81E+00	1.77E+00	0	0	1	-1.66E-07	1.58E+00	3.65E-01	1.00E+00	2.35E+01	2.35E+01	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
25	4	'plaster copy mat 4 + Bestest600'	'dryprop-bestest'	9.50E+02	8.40E+02	1.60E-01	4.50E-03	2.09E+02	0.5	1	2.61E-05	3.00E+00	5.03E-01	4.97E-01	0	0	1	-2.00E-06	1.27E+00	2.13E-01	2.09E+02	1.00E+00	1.00E+00	0	0	0	0	0	0	0	0	2	-1.20E+02	-3.30E+01	0	0	0	0	0	0	0	0	0	0	0	0
26	1	'concrete mat1 + BESTEST 900 '	'dryprop-bestest'	1.40E+03	1.00E+03	5.10E-01	1.58E-02	1.46E+02	0.5	1	2.61E-05	2.00E+02	5.03E-01	4.97E-01	0	0	1	-8.00E-08	1.60E+00	3.75E-01	1.00E+00	1.46E+02	1.46E+02	0	0	0	0	0	0	0	0	2	-7.30E+01	-3.93E+01	0	0	0	0	0	0	0	0	0	0	0	0
27	14	'insulation copy mat 14 + Bestest900 wall'	'dryprop-bestest'	1.00E+01	1.40E+03	4.00E-02	0	2.34E+01	0.5	2	2.31E-05	2.73E+02	1.81E+00	1.77E+00	0	0	1	-1.66E-07	1.58E+00	3.65E-01	1.00E+00	2.35E+01	2.35E+01	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
28	11	'wood copy mat 11 + Bestest600 piso'	'dryprop-bestest'	6.50E+02	1.20E+03	1.40E-01	0	1.50E+02	0.5	3	2.31E-05	2.73E+02	1.81E+00	7.50E-02	2.18E-03	5.00E+00	1	-6.67E-07	1.42E+00	2.94E-01	1.00E+00	1.50E+02	1.50E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	'wood siding (exterior) Annex41 Bestest 600'	IEA Annex 24 - Spruce pg 53'	5.30E+02	9.00E+02	1.40E-01	4.0E-04	1.26E+02	0.5	5	-2.84E-04	-9.26E-13	-2.25E+07	-2.18E+08	-6.94E+06	0	1	-8.00E-08	1.00E+00	5.81E-01	1.00E+00	1.26E+02	1.26E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	'cellulose insulation Annex41 Bestest 600'	IEA Annex 24 - Cellulose pg 87'	5.50E+01	1.88E+03	4.00E-02	1.4E-03	2.36E+01	0.5	4	1.20E-10	0	0	0	0	0	1	-8.00E-08	1.00E+00	7.55E-01	1.00E+00	2.36E+01	2.36E+01	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	'wood panel (interior) Annex41 Bestest 600'	IEA Annex 24 - Spruce pg 53'	3.95E+02	1.88E+03	1.60E-01	4.0E-04	1.26E+02	0.5	5	-2.84E-04	-9.26E-13	-2.25E+07	-2.18E+08	-6.94E+06	0	1	-8.00E-08	1.00E+00	5.81E-01	1.00E+00	1.26E+02	1.26E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	'timber flooring Annex41 Bestest 600'	IEA Annex 24 - Spruce pg 53'	6.50E+02	1.88E+03	1.40E-01	4.0E-04	1.26E+02	0.5	5	-2.84E-04	-9.26E-13	-2.25E+07	-2.18E+08	-6.94E+06	0	1	-8.00E-08	1.00E+00	5.81E-01	1.00E+00	1.26E+02	1.26E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	'insulation (floor) Annex 41 Bestest 600'	IEA Annex 24 - Fiber Glass Insulation pg 77 + no mositure transfer'	8.00E+01	8.40E+02	4.00E-02	0	4.03E-01	0.5	4	1.58E-10	0	0	0	0	0	1	-8.00E-08	1.00E+00	4.53E-01	9.99E-01	4.03E-01	4.03E-01	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	roof deck Annex 41 Bestest 600'	IEA Annex 24 - plywood pg 56'	5.30E+02	1.88E+03	1.40E-01	4.0E-04	1.59E+02	0.5	5	-2.77E-05	2.39E-13	-9.62E+07	-162790728	-3.02E+07	0	1	-5.00E-08	1.00E+00	5.70E-01	1.00E+00	1.59E+02	1.59E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	'concrete CFD-HAM'	-	2.20E+03	8.30E+02	1.50E+00	0	1.46E+02	0.5	6	-3.21E-13	1.37E-12	0	0	0	0	1	-5.00E-08	1.00E+00	7.19E-01	1.03E+00	1.46E+02	1.46E+02	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	'aerated concrete'	'IEA Annex 41 - CE1 - 0B'	6.50E+02	8.40E+02	1.80E-01	0	4.30E+01	0.5	4	3.00E-11	0	0	0	0	0	50	4.30E+01	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-25	0	0	0	0	0	0	0	0	0	0	0	0	0
