cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.399600000000000E+06    0.555355486989576E+02   -0.334430388041378E+04    0.361559512795503E+05   -0.469233685741844E+04    0.361561446123725E+05
    0.403200000000000E+06    0.555535317030591E+02   -0.104549686650950E+05    0.359312443341849E+05   -0.996993936129476E+04    0.359314535147466E+05
    0.406800000000000E+06    0.555652044357339E+02   -0.192414264549534E+05    0.356955209513455E+05   -0.186265324457598E+05    0.356955172794527E+05
    0.410400000000000E+06    0.555725491170250E+02   -0.247208584586549E+05    0.354632882153620E+05   -0.243847066279883E+05    0.354632845080422E+05
    0.414000000000000E+06    0.555853341805391E+02   -0.145534743242528E+05    0.352430855497040E+05   -0.156750764790747E+05    0.352432829787307E+05
    0.417600000000000E+06    0.555983913899713E+02   -0.142593950888311E+05    0.350369886685371E+05   -0.151276334294907E+05    0.350371734109167E+05
    0.421200000000000E+06    0.556119187727435E+02   -0.135106178061803E+05    0.348436797472083E+05   -0.146085482717719E+05    0.348438517774645E+05
    0.424800000000000E+06    0.556258652472609E+02   -0.115627435482178E+05    0.346603305385725E+05   -0.127175703895746E+05    0.346604917725407E+05
    0.428400000000000E+06    0.556351757607427E+02   -0.192161422329907E+05    0.344856548161127E+05   -0.187478006525076E+05    0.344858087986485E+05
    0.432000000000000E+06    0.556532967494308E+02   -0.475910482779806E+04    0.343171602738858E+05   -0.529100477376507E+04    0.343171599474828E+05
    0.435600000000000E+06    0.556676590891306E+02   -0.106108576271904E+05    0.341516679564754E+05   -0.113161566667385E+05    0.341518074051201E+05
    0.439200000000000E+06    0.556767244756978E+02   -0.203644065988440E+05    0.339890460197172E+05   -0.193329118052680E+05    0.339891826175541E+05
    0.442800000000000E+06    0.556858922896975E+02   -0.194371563903646E+05    0.338315569454353E+05   -0.198748392825895E+05    0.338292593181578E+05
    0.446400000000000E+06    0.556935693422269E+02   -0.227464068222870E+05    0.336810396124337E+05   -0.219167339701342E+05    0.336788182485031E+05
    0.450000000000000E+06    0.556976932192079E+02   -0.278635571940987E+05    0.335404533952788E+05   -0.274292695699599E+05    0.335404516908464E+05
    0.453600000000000E+06    0.557086949202565E+02   -0.148555670506244E+05    0.334098018898496E+05   -0.163070263777165E+05    0.334097991903448E+05
    0.457200000000000E+06    0.557179951777233E+02   -0.176790017777615E+05    0.332866970050312E+05   -0.183854105112925E+05    0.332867995865060E+05
    0.460800000000000E+06    0.557191358558333E+02   -0.101340126944918E+05    0.331716694966353E+05   -0.769376383805964E+04    0.331716686750626E+05
    0.464400000000000E+06    0.557242998810055E+02    0.887001045358047E+04    0.330876565027820E+05    0.110970529338799E+05    0.330876563802051E+05
    0.468000000000000E+06    0.557299575857469E+02   -0.657441161319770E+03    0.329870621979807E+05    0.184376413369122E+03    0.329870655135054E+05
    0.471600000000000E+06    0.557327899769830E+02   -0.625720452547032E+04    0.328777203345976E+05   -0.598807202135218E+04    0.328777188452766E+05
    0.475200000000000E+06    0.557291264817845E+02    0.615396943843021E+03    0.328008104491972E+05    0.947516078842091E+02    0.328008099609009E+05
    0.478800000000000E+06    0.557224758508797E+02    0.705347298145819E+05    0.327530801116050E+05    0.698434679794906E+05    0.327530800937773E+05
    0.482400000000000E+06    0.557183602379139E+02   -0.455585724331927E+05    0.326877034926207E+05   -0.455114281757993E+05    0.326877026662311E+05
    0.486000000000000E+06    0.557126756520995E+02   -0.492370206032455E+05    0.326609581593026E+05   -0.492396267282687E+05    0.326609570181279E+05
    0.489600000000000E+06    0.557090499001881E+02   -0.411517505247392E+05    0.326505428419586E+05   -0.413860178635343E+05    0.326505833359643E+05
    0.493200000000000E+06    0.557027719737508E+02   -0.417371942074653E+05    0.326540159246284E+05   -0.413942156138712E+05    0.326540496582070E+05
    0.496800000000000E+06    0.556979030630241E+02   -0.375902442089737E+05    0.326691872492174E+05   -0.375691379656706E+05    0.326692143551280E+05
    0.500400000000000E+06    0.556959894989006E+02   -0.305331504006872E+05    0.326926890449680E+05   -0.306535836987008E+05    0.326927112455096E+05
    0.504000000000000E+06    0.556987779710311E+02    0.275809588895076E+05    0.327193275776191E+05    0.279636878631515E+05    0.327193270283898E+05
    0.507600000000000E+06    0.557052346449553E+02    0.975260527866978E+04    0.327388731695632E+05    0.990632100140244E+04    0.327388740760702E+05
    0.511200000000000E+06    0.557058679990756E+02   -0.381529399519859E+04    0.327611624564006E+05   -0.328382987666256E+04    0.327611901244865E+05
    0.514800000000000E+06    0.556983249268209E+02   -0.576580949788780E+05    0.327730946939199E+05   -0.571649699195642E+05    0.327731233573048E+05
    0.518400000000000E+06    0.556822711121880E+02   -0.625197032428650E+05    0.327892507551449E+05   -0.601309238127915E+05    0.327892818941316E+05
    0.522000000000000E+06    0.556582356319829E+02   -0.752213228139415E+05    0.328222038395740E+05   -0.732597900934038E+05    0.328222304510996E+05
    0.525600000000000E+06    0.556348463632248E+02   -0.747009061321253E+05    0.328819126353793E+05   -0.738922253784064E+05    0.328819270115698E+05
    0.529200000000000E+06    0.556115191543804E+02   -0.552876969496062E+05    0.329729144876665E+05   -0.559343467656969E+05    0.329729157814652E+05
    0.532800000000000E+06    0.555944511672205E+02   -0.322143890603223E+05    0.330931209754133E+05   -0.320793734156374E+05    0.330931204283695E+05
    0.536400000000000E+06    0.555821082912627E+02   -0.751748266082535E+05    0.332343111030222E+05   -0.792031903650117E+05    0.332342840384791E+05
    0.540000000000000E+06    0.555728684615163E+02   -0.643187181587729E+05    0.333861927295788E+05   -0.667206627774072E+05    0.333861599113975E+05
    0.543600000000000E+06    0.555634018939731E+02   -0.626273562127902E+05    0.335400721806056E+05   -0.639803249674542E+05    0.335400387913237E+05
    0.547200000000000E+06    0.555524907174552E+02   -0.641236437940080E+05    0.336909309683402E+05   -0.646839952500221E+05    0.336909001997278E+05
    0.550800000000000E+06    0.555400342941797E+02   -0.684159179877118E+05    0.338375629743434E+05   -0.694636364803503E+05    0.338375363057893E+05
    0.554400000000000E+06    0.555331668414757E+02   -0.570495566406694E+05    0.339788163808285E+05   -0.583786211926039E+05    0.339788165095750E+05
    0.558000000000000E+06    0.555331251533916E+02   -0.425685512775985E+05    0.341107580693780E+05   -0.446795614318273E+05    0.341107580158442E+05
    0.561600000000000E+06    0.555401231613895E+02   -0.296906108452319E+05    0.342261304057812E+05   -0.306785770718718E+05    0.342261300237677E+05
    0.565200000000000E+06    0.555538656503398E+02   -0.186155139531172E+05    0.343161339902089E+05   -0.205783507627352E+05    0.343161332856561E+05
    0.568800000000000E+06    0.555711988616113E+02   -0.126367107101490E+05    0.343726918370125E+05   -0.147217474067549E+05    0.343726909921174E+05
    0.572400000000000E+06    0.555873253463817E+02   -0.144138334993804E+05    0.343919049510745E+05   -0.153750142869067E+05    0.343919044277816E+05
    0.576000000000000E+06    0.556035658610841E+02   -0.135780867174723E+05    0.343744988141702E+05   -0.144603475384008E+05    0.343744983186422E+05
    0.579600000000000E+06    0.556164369670662E+02   -0.172178910629688E+05    0.343253091813579E+05   -0.191072012281404E+05    0.343253748074422E+05
    0.583200000000000E+06    0.556291407136873E+02   -0.169490263486748E+05    0.342510328045894E+05   -0.181920883160324E+05    0.342510313327345E+05
    0.586800000000000E+06    0.556390472907345E+02   -0.219364824509668E+05    0.341590499157881E+05   -0.218325778311464E+05    0.341569176871793E+05
    0.590400000000000E+06    0.556460925797435E+02   -0.274036943023881E+05    0.340572590864599E+05   -0.263810395158905E+05    0.340573530593028E+05
    0.594000000000000E+06    0.556509826311748E+02   -0.309731203436300E+05    0.339524795380613E+05   -0.295413940828394E+05    0.339525754649970E+05
    0.597600000000000E+06    0.556545385305221E+02   -0.328568641530785E+05    0.338505831723171E+05   -0.315178038969196E+05    0.338506778655769E+05
    0.601200000000000E+06    0.556588986018858E+02   -0.294812339240063E+05    0.337550151509288E+05   -0.300321178584610E+05    0.337528289857582E+05
    0.604800000000000E+06    0.556638960769057E+02   -0.278640039355229E+05    0.336667599722245E+05   -0.288760020953841E+05    0.336668464550479E+05
    0.608400000000000E+06    0.556688148583975E+02   -0.270611112214205E+05    0.335851727603032E+05   -0.286918011589387E+05    0.335830773357485E+05
    0.612000000000000E+06    0.556720248459815E+02   -0.316090837528148E+05    0.335097140739669E+05   -0.307676096248329E+05    0.335097948444911E+05
    0.615600000000000E+06    0.556763463300289E+02   -0.281450396702980E+05    0.334399159587470E+05   -0.292128541534647E+05    0.334399929516196E+05
    0.619200000000000E+06    0.556809671885257E+02   -0.273818021875532E+05    0.333745960849535E+05   -0.285369577496998E+05    0.333746708596864E+05
    0.622800000000000E+06    0.556855075207609E+02   -0.273994872986020E+05    0.333127031847472E+05   -0.280723386434002E+05    0.333127763576963E+05
    0.626400000000000E+06    0.556960433275525E+02   -0.166940942415560E+05    0.332512954220650E+05   -0.179686478501216E+05    0.332512948600690E+05
    0.630000000000000E+06    0.557051263650606E+02   -0.191720373187135E+05    0.331869697180787E+05   -0.200963094353216E+05    0.331869684251039E+05
    0.633600000000000E+06    0.557131606697965E+02   -0.209148383802775E+05    0.331180156829963E+05   -0.224679113038560E+05    0.331180892235251E+05
    0.637200000000000E+06    0.557186821906067E+02   -0.268455321905247E+05    0.330449965129825E+05   -0.260010172505275E+05    0.330450724262671E+05
    0.640800000000000E+06    0.557265088694954E+02   -0.208089047477627E+05    0.329693365392957E+05   -0.219209538173629E+05    0.329693352214430E+05
    0.644400000000000E+06    0.557227733040819E+02   -0.178920751748601E+05    0.328954546600383E+05   -0.146074267834097E+05    0.328954532917732E+05
    0.648000000000000E+06    0.557383482299556E+02   -0.139924431685486E+05    0.328229975330796E+05   -0.157161578937313E+05    0.328229969559504E+05
    0.651600000000000E+06    0.557533647744260E+02   -0.941967822328915E+04    0.327468775542613E+05   -0.104967849504366E+05    0.327468770513121E+05
