cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.151200000000000E+06    0.273548446388789E+02    0.139332470393525E+02   -0.365352644690585E+05    0.242325420177726E+05   -0.364510753954354E+05    0.242313604462687E+05
    0.154800000000000E+06    0.273340290051552E+02    0.139276076682667E+02   -0.730173155562517E+05    0.244343328269431E+05   -0.729281473743944E+05    0.244223300648230E+05
    0.158400000000000E+06    0.273208326496248E+02    0.139222092940786E+02   -0.548460425571914E+05    0.246183781684791E+05   -0.548351506599704E+05    0.246063138688301E+05
    0.162000000000000E+06    0.273207929596119E+02    0.139200207876862E+02   -0.228821968991121E+05    0.247102424133462E+05   -0.228752367088169E+05    0.247046998485379E+05
    0.165600000000000E+06    0.273257437107409E+02    0.139204240205815E+02   -0.107077097403052E+05    0.247199467907940E+05   -0.106992346425214E+05    0.247199651852727E+05
    0.169200000000000E+06    0.273200595043878E+02    0.139194582085766E+02   -0.368288994849553E+05    0.247451772535044E+05   -0.368165153392243E+05    0.247431611808430E+05
    0.172800000000000E+06    0.273209006744500E+02    0.139191673568387E+02   -0.210498311244044E+05    0.247645909334166E+05   -0.210480807652264E+05    0.247635099097469E+05
    0.176400000000000E+06    0.273218272034752E+02    0.139192784421903E+02   -0.209114086537458E+05    0.247609322628225E+05   -0.209112059706047E+05    0.247609576051568E+05
    0.180000000000000E+06    0.273119339428791E+02    0.139171485033836E+02   -0.475512526509680E+05    0.248194182608482E+05   -0.475257393128934E+05    0.248151215237470E+05
    0.183600000000000E+06    0.273056325439142E+02    0.139147646863329E+02   -0.389994013707968E+05    0.249039986915146E+05   -0.389969731414792E+05    0.248986075054102E+05
    0.187200000000000E+06    0.272975632817516E+02    0.139119882482459E+02   -0.434945181332782E+05    0.249926390898209E+05   -0.434863686769906E+05    0.249866383366712E+05
    0.190800000000000E+06    0.272840898366445E+02    0.139078500194115E+02   -0.569456916763018E+05    0.251214335016376E+05   -0.569176167395381E+05    0.251127957269245E+05
    0.194400000000000E+06    0.272845779879635E+02    0.139062030999702E+02   -0.229321659477755E+05    0.251937157067327E+05   -0.229255969200682E+05    0.251896295797329E+05
    0.198000000000000E+06    0.272831013167086E+02    0.139053684447468E+02   -0.277360550728967E+05    0.252329192554552E+05   -0.277356363485257E+05    0.252307710953225E+05
