       time step start          time step length       avg time step length      required iterations
    0.272963288439572E+06    0.636711560427619E+03    0.360000000000000E+04             14
    0.273600000000000E+06    0.682190957601020E+03    0.354164381915202E+04             15
    0.274282190957601E+06    0.682190957601020E+03    0.348328763830404E+04             15
    0.274964381915202E+06    0.682190957601020E+03    0.342493145745606E+04             15
    0.275646572872803E+06    0.682190957601020E+03    0.336657527660808E+04             15
    0.276328763830404E+06    0.871236169595970E+03    0.360000000000000E+04             16
    0.277200000000000E+06    0.816783908996222E+03    0.354433567817992E+04             15
    0.278016783908996E+06    0.816783908996222E+03    0.348867135635985E+04             15
    0.278833567817992E+06    0.816783908996222E+03    0.343300703453977E+04             15
    0.279650351726989E+06    0.114964827301138E+04    0.360000000000000E+04             21
    0.280800000000000E+06    0.821177337865270E+03    0.354442354675731E+04             18
    0.281621177337865E+06    0.684314448221059E+03    0.348610983572173E+04             15
    0.282305491786086E+06    0.684314448221059E+03    0.342779612468615E+04             15
    0.282989806234307E+06    0.684314448221059E+03    0.336948241365057E+04             15
    0.283674120682528E+06    0.725879317471525E+03    0.360000000000000E+04             15
    0.284400000000000E+06    0.725879317471525E+03    0.354251758634943E+04             24
    0.285125879317472E+06    0.453674573419703E+03    0.347959107781782E+04             18
    0.285579553890891E+06    0.378062144516419E+03    0.341515232070815E+04             16
    0.285957616035408E+06    0.354433260484143E+03    0.335024098591784E+04             14
    0.286312049295892E+06    0.379749921947296E+03    0.328583598435678E+04             14
    0.286691799217839E+06    0.406874916372103E+03    0.322197348268422E+04             16
    0.287098674134211E+06    0.381445234098846E+03    0.315760238736620E+04             15
    0.287480119368310E+06    0.519880631689914E+03    0.360000000000000E+04             18
    0.288000000000000E+06    0.433233859741595E+03    0.353666467719483E+04             15
    0.288433233859742E+06    0.433233859741595E+03    0.347332935438966E+04             13
    0.288866467719483E+06    0.499885222778763E+03    0.341132705884524E+04             13
    0.289366352942262E+06    0.576790641667803E+03    0.335086287167860E+04             13
    0.289943143583930E+06    0.665527663462850E+03    0.329217342494785E+04             11
    0.290608671247393E+06    0.991328752607398E+03    0.360000000000000E+04             10
    0.291600000000000E+06    0.148699312891110E+04    0.355773986257822E+04              9
    0.293086993128911E+06    0.211300687108887E+04    0.360000000000000E+04              9
    0.295200000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.298800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
