cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.248400000000000E+06    0.555574115993149E+02   -0.561105849394801E+05    0.344566241119899E+05   -0.557808452224648E+05    0.344567975073390E+05
    0.252000000000000E+06    0.555497106827376E+02   -0.464540139025345E+05    0.344112167581290E+05   -0.469246673377457E+05    0.344113454047668E+05
    0.255600000000000E+06    0.555385738782358E+02   -0.530933045426507E+05    0.344060179747097E+05   -0.527273071176270E+05    0.344060162649418E+05
    0.259200000000000E+06    0.555187373860882E+02   -0.679284358638747E+05    0.344341480399200E+05   -0.676427875439174E+05    0.344341469567970E+05
    0.262800000000000E+06    0.554975072487954E+02   -0.706678413172831E+05    0.344929567097488E+05   -0.700691347747113E+05    0.344929562663451E+05
    0.266400000000000E+06    0.554763302745804E+02   -0.702840134754699E+05    0.345811260130740E+05   -0.698991515474375E+05    0.345811258676219E+05
    0.270000000000000E+06    0.554579076996177E+02   -0.651090205729441E+05    0.346955402790384E+05   -0.646978183127076E+05    0.346955436564098E+05
    0.273600000000000E+06    0.554444579643603E+02   -0.558733182899404E+05    0.348300457396956E+05   -0.563151368328012E+05    0.348300326070417E+05
    0.277200000000000E+06    0.554319309217845E+02   -0.528657443726923E+05    0.349769233200471E+05   -0.553496287044412E+05    0.349761126858782E+05
    0.280800000000000E+06    0.554217171216315E+02   -0.486080965362934E+05    0.351288427135808E+05   -0.493045255956089E+05    0.351288159667145E+05
    0.284400000000000E+06    0.554093687229404E+02   -0.535245966308560E+05    0.352810264656751E+05   -0.531880389585900E+05    0.352810014350749E+05
    0.288000000000000E+06    0.553936718500821E+02   -0.607031101524932E+05    0.354325642014891E+05   -0.605160210879239E+05    0.354325651124619E+05
    0.291600000000000E+06    0.553786396976276E+02   -0.617411353400750E+05    0.355843000819637E+05   -0.610553088806047E+05    0.355842788800840E+05
    0.295200000000000E+06    0.553787813527986E+02   -0.362882270916634E+05    0.357325212902126E+05   -0.367385376925022E+05    0.357325210228518E+05
    0.298800000000000E+06    0.553970379814443E+02   -0.511510119813574E+04    0.358640223105344E+05   -0.641687774822896E+04    0.358640216719221E+05
    0.302400000000000E+06    0.554325187289870E+02    0.235796380159797E+05    0.359579778102274E+05    0.232022743478676E+05    0.359579775927735E+05
    0.306000000000000E+06    0.554710053802243E+02    0.294704598199040E+05    0.359950451614114E+05    0.286936457305355E+05    0.359950446718917E+05
    0.309600000000000E+06    0.555119407815718E+02    0.335864480783864E+05    0.359634035236919E+05    0.330922493340838E+05    0.359634031615302E+05
    0.313200000000000E+06    0.555680183841611E+02    0.591589496817224E+05    0.358555432896224E+05    0.585593508672751E+05    0.358555427946317E+05
    0.316800000000000E+06    0.555855008015086E+02   -0.577597609891507E+04    0.356808073393331E+05   -0.528331688971890E+04    0.356808076962942E+05
    0.320400000000000E+06    0.555626407492161E+02   -0.732595000936678E+05    0.354747066804906E+05   -0.725166354695409E+05    0.354747073538459E+05
    0.324000000000000E+06    0.555285215344265E+02   -0.917849009158312E+05    0.352839018322083E+05   -0.915802114671904E+05    0.352839021034022E+05
    0.327600000000000E+06    0.554896893051666E+02   -0.998078195260798E+05    0.351473520912311E+05   -0.994643040596792E+05    0.351473524419252E+05
    0.331200000000000E+06    0.554603582681348E+02   -0.832065548257410E+05    0.350840583415132E+05   -0.828278705822269E+05    0.350840558026689E+05
    0.334800000000000E+06    0.554437210302955E+02   -0.602743807844260E+05    0.350910309010767E+05   -0.604803380852695E+05    0.350910287029068E+05
    0.338400000000000E+06    0.554365850383200E+02   -0.434380475908087E+05    0.351501948811699E+05   -0.438733221388980E+05    0.351501932800277E+05
    0.342000000000000E+06    0.554256631387008E+02   -0.507796090953088E+05    0.352415678424732E+05   -0.505786169233513E+05    0.352415802795929E+05
    0.345600000000000E+06    0.554105065147515E+02   -0.535431709609371E+05    0.353519619330547E+05   -0.546280996541115E+05    0.353519597174400E+05
    0.349200000000000E+06    0.553905346574014E+02   -0.620147791872603E+05    0.354761738856436E+05   -0.639012761263162E+05    0.354761631845024E+05
    0.352800000000000E+06    0.553689404661851E+02   -0.627235882879349E+05    0.356142421530434E+05   -0.629530728428975E+05    0.356142428802150E+05
    0.356400000000000E+06    0.553482727668495E+02   -0.634657006449275E+05    0.357667504968717E+05   -0.642176720323116E+05    0.357667230736624E+05
    0.360000000000000E+06    0.553328629344299E+02   -0.521039413549852E+05    0.359318098007885E+05   -0.506015211473478E+05    0.359317742978208E+05
    0.363600000000000E+06    0.553248397791326E+02   -0.384208829357906E+05    0.361027726023664E+05   -0.374897977770520E+05    0.361027728877299E+05
    0.367200000000000E+06    0.553270587360450E+02   -0.194025697123313E+05    0.362685269867497E+05   -0.189700511239649E+05    0.362685263285152E+05
    0.370800000000000E+06    0.553349563377366E+02   -0.632211560585419E+04    0.364162532052770E+05   -0.578752651417440E+04    0.364162523636951E+05
    0.374400000000000E+06    0.553473958687078E+02    0.270892685674094E+04    0.365347108673288E+05    0.271078793643485E+04    0.365347100441135E+05
    0.378000000000000E+06    0.553628012347571E+02    0.778800286291569E+04    0.366162674731693E+05    0.729834136377301E+04    0.366162669136768E+05
    0.381600000000000E+06    0.553870394798301E+02    0.201523015921156E+05    0.366550846664531E+05    0.198492827231982E+05    0.366550839957210E+05
    0.385200000000000E+06    0.554118252070490E+02    0.598203356310838E+04    0.366475951313939E+05    0.592148603988318E+04    0.366475935245678E+05
    0.388800000000000E+06    0.554440232839759E+02    0.132074571344593E+05    0.365915791965019E+05    0.127321840141438E+05    0.365915768773180E+05
    0.392400000000000E+06    0.554813045693261E+02    0.151567479119704E+05    0.364850242028125E+05    0.139919761556130E+05    0.364850239092371E+05
    0.396000000000000E+06    0.555145703464910E+02    0.913303201289666E+04    0.363292728324596E+05    0.791565599983239E+04    0.363292723353686E+05
    0.399600000000000E+06    0.555378268012544E+02   -0.297752114515607E+04    0.361326418054225E+05   -0.422045171239607E+04    0.361328320489326E+05
    0.403200000000000E+06    0.555557680050038E+02   -0.102336827174193E+05    0.359088496474112E+05   -0.968270797351496E+04    0.359090568928740E+05
    0.406800000000000E+06    0.555673867424930E+02   -0.190577522541106E+05    0.356738728954852E+05   -0.184448065783594E+05    0.356738690767829E+05
    0.410400000000000E+06    0.555746871568116E+02   -0.245747636471710E+05    0.354422688455954E+05   -0.242460271571455E+05    0.354422649762287E+05
    0.414000000000000E+06    0.555874263586122E+02   -0.143990295339464E+05    0.352226281199183E+05   -0.155017799213903E+05    0.352228243303141E+05
    0.417600000000000E+06    0.556004372478179E+02   -0.141073878941448E+05    0.350170622868002E+05   -0.149534275839624E+05    0.350172455212357E+05
    0.421200000000000E+06    0.556139235024697E+02   -0.133550978802363E+05    0.348242800391898E+05   -0.144249107683772E+05    0.348244502765990E+05
    0.424800000000000E+06    0.556278179088956E+02   -0.114418938833102E+05    0.346414691927737E+05   -0.125753556951964E+05    0.346416284297299E+05
    0.428400000000000E+06    0.556370891808882E+02   -0.191086829394790E+05    0.344673438691790E+05   -0.186495731901963E+05    0.344674956793981E+05
    0.432000000000000E+06    0.556551576415996E+02   -0.463446255360877E+04    0.342994179851137E+05   -0.515600989112017E+04    0.342994176717305E+05
    0.435600000000000E+06    0.556694716825147E+02   -0.105015273045417E+05    0.341345190532754E+05   -0.111903431594426E+05    0.341346562813477E+05
    0.439200000000000E+06    0.556784971428304E+02   -0.202509897252267E+05    0.339725065387545E+05   -0.192217496644036E+05    0.339726409541062E+05
    0.442800000000000E+06    0.556876225971716E+02   -0.193500255446828E+05    0.338156277541911E+05   -0.197288602956964E+05    0.338135849610887E+05
    0.446400000000000E+06    0.556952558100463E+02   -0.226756351473819E+05    0.336657225655542E+05   -0.217776424186003E+05    0.336637545473599E+05
    0.450000000000000E+06    0.556993402044132E+02   -0.277580161799844E+05    0.335257431615480E+05   -0.273266945992217E+05    0.335257413566875E+05
    0.453600000000000E+06    0.557102871626357E+02   -0.147792777328159E+05    0.333956895021674E+05   -0.162139306974941E+05    0.333956867439223E+05
    0.457200000000000E+06    0.557195451870746E+02   -0.175918860065733E+05    0.332731888252418E+05   -0.182923800690640E+05    0.332732887409254E+05
    0.460800000000000E+06    0.557315686261943E+02   -0.130273808349904E+05    0.331551213451106E+05   -0.138905320116110E+05    0.331551190675409E+05
    0.464400000000000E+06    0.557473094293700E+02   -0.679563553881476E+04    0.330369915563516E+05   -0.755710059480593E+04    0.330369911581386E+05
    0.468000000000000E+06    0.557596450828018E+02   -0.121344010852776E+05    0.329157919859331E+05   -0.128052198928109E+05    0.329158841105243E+05
    0.471600000000000E+06    0.557669657722268E+02   -0.206733912949380E+05    0.327922398837727E+05   -0.201954293716009E+05    0.327922386518161E+05
    0.475200000000000E+06    0.557661718075957E+02   -0.333445980937958E+05    0.326721319209042E+05   -0.327506920813808E+05    0.326721323327326E+05
    0.478800000000000E+06    0.557600026732422E+02   -0.392936637059345E+05    0.325641308273580E+05   -0.385509533180078E+05    0.325641303378391E+05
    0.482400000000000E+06    0.557546022000345E+02   -0.367199761792948E+05    0.324755763042909E+05   -0.366188312283980E+05    0.324755753139880E+05
    0.486000000000000E+06    0.557481103000454E+02   -0.397757176732132E+05    0.324100908486818E+05   -0.394940053063767E+05    0.324100901594465E+05
    0.489600000000000E+06    0.557430685350414E+02   -0.349311259101965E+05    0.323676842863558E+05   -0.348199678010572E+05    0.323677353885328E+05
    0.493200000000000E+06    0.557351675578990E+02   -0.380384097327670E+05    0.323467929552488E+05   -0.381479530721554E+05    0.323467926379520E+05
    0.496800000000000E+06    0.557287227440943E+02   -0.348244602244184E+05    0.323449179949024E+05   -0.348500384472594E+05    0.323449468152218E+05
    0.500400000000000E+06    0.557252969458088E+02   -0.283298576384502E+05    0.323581312145384E+05   -0.277511851476593E+05    0.323581509238875E+05
    0.504000000000000E+06    0.557282545573177E+02   -0.187566048120626E+05    0.323795569237924E+05   -0.184017232413367E+05    0.323795557433453E+05
    0.507600000000000E+06    0.557345211453902E+02   -0.216768263039044E+05    0.324008892415209E+05   -0.220037753461847E+05    0.324008883893735E+05
    0.511200000000000E+06    0.557361442948983E+02   -0.313570256865561E+05    0.324166993118760E+05   -0.308888902983724E+05    0.324161786610146E+05
    0.514800000000000E+06    0.557297473026207E+02   -0.458092272267014E+05    0.324281854123396E+05   -0.450356852353013E+05    0.324281856149659E+05
    0.518400000000000E+06    0.557130431738242E+02   -0.560306977080259E+05    0.324434675730892E+05   -0.557811798828131E+05    0.324434683325731E+05
    0.522000000000000E+06    0.556884232594343E+02   -0.703265364633737E+05    0.324750802485738E+05   -0.702660368557806E+05    0.324750806901729E+05
    0.525600000000000E+06    0.556646933190142E+02   -0.711772125782650E+05    0.325332938842291E+05   -0.706796881543587E+05    0.325332995754620E+05
    0.529200000000000E+06    0.556424079601392E+02   -0.734760297277884E+05    0.326227347684189E+05   -0.726213212227410E+05    0.326227247652169E+05
    0.532800000000000E+06    0.556279086394115E+02   -0.603246128799176E+05    0.327399987101994E+05   -0.613724450801139E+05    0.327399721585201E+05
    0.536400000000000E+06    0.556186990235584E+02   -0.517630951335327E+05    0.328755826427230E+05   -0.527303847742396E+05    0.328755826295070E+05
    0.540000000000000E+06    0.556108501686720E+02   -0.476011042185858E+05    0.330188445805954E+05   -0.485513651901612E+05    0.330188026349399E+05
    0.543600000000000E+06    0.556019359397781E+02   -0.501964502183014E+05    0.331616576805355E+05   -0.487169184365805E+05    0.331619200967739E+05
    0.547200000000000E+06    0.555912275724483E+02   -0.532131480100515E+05    0.333006817876937E+05   -0.519707173447052E+05    0.333006444938439E+05
    0.550800000000000E+06    0.555788262814004E+02   -0.563497179821391E+05    0.334357349816145E+05   -0.556469662999153E+05    0.334357359742365E+05
    0.554400000000000E+06    0.555716706975239E+02   -0.460231349787879E+05    0.335667463175769E+05   -0.474542177078846E+05    0.335667137624469E+05
    0.558000000000000E+06    0.555707683166122E+02   -0.347693856667971E+05    0.336903887777054E+05   -0.360525314019199E+05    0.336903884932755E+05
    0.561600000000000E+06    0.555768724426969E+02   -0.234460572084235E+05    0.338001589522964E+05   -0.240242868695407E+05    0.338001585796304E+05
    0.565200000000000E+06    0.555894129597561E+02   -0.127422597094045E+05    0.338875728522765E+05   -0.140048458793822E+05    0.338875722470258E+05
    0.568800000000000E+06    0.556054834392933E+02   -0.758393960133780E+04    0.339446636369192E+05   -0.898540981526302E+04    0.339446630169612E+05
    0.572400000000000E+06    0.556205713532575E+02   -0.995242869933949E+04    0.339672808967387E+05   -0.105976392022175E+05    0.339672805551983E+05
